WN7 @ 19 dB baseSeed 10507 worker 1 burst 0 (channelSeed 1010508) MFB-form receiver, window [-8,18)
b0 anatomy: mean|ring|^2=4.97E-002 anchors=65 a0:E=2.03E-001@pk0 a1:E=2.02E-001@pk0 a2:E=1.66E-001@pk0 a3:E=1.41E-001@pk0 lock=//K@Hz
anchor-fit residual per block: b0:2.06E-004 b1:2.05E-004 b2:2.05E-004 b3:1.95E-004 b4:2.10E-004 b5:1.88E-004 b6:1.94E-004 b7:2.04E-004 b8:2.01E-004 b9:2.02E-004 b10:2.17E-004
R41 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R42 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R43 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R44 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R45 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R46 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R47 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R48 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R49 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R50 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R51 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R52 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R53 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R54 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R55 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R56 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R57 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R58 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R59 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R60 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
