WN7 @ 19 dB baseSeed 10507 worker 3 burst 0 (channelSeed 3010508) MFB-form receiver, window [-8,18)
b0 anatomy: mean|ring|^2=6.60E-002 anchors=65 a0:E=8.51E-002@pk10 a1:E=1.36E-001@pk0 a2:E=1.73E-001@pk0 a3:E=2.45E-001@pk0 lock=//K@Hz
anchor-fit residual per block: b0:1.90E-004 b1:2.02E-004 b2:2.00E-004 b3:2.09E-004 b4:1.94E-004 b5:2.13E-004 b6:2.05E-004 b7:2.16E-004 b8:1.99E-004 b9:1.91E-004 b10:1.93E-004
R25 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R26 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R27 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R28 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R29 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R30 coded errors 16/405504: b0:0 b1:0 b2:0 b3:0 b4:16 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R31 coded errors 18/405504: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R32 coded errors 10/405504: b0:0 b1:0 b2:0 b3:0 b4:10 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R33 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R34 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R35 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R36 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R37 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R38 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R39 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R40 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R41 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R42 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R43 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R44 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R45 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R46 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R47 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R48 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R49 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R50 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R51 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R52 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R53 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R54 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R55 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R56 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R57 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R58 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R59 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R60 coded errors 0/405504: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
